indicator,accNodesData,converter_techs,vintage,perUnitBuild,amorTime,useAnnuity,interest
Invest,global,pv_decentral,1950,870.0,35,1,0.06
Invest,global,pv_decentral,2030,570.0,40,1,0.06
Invest,global,pv_decentral,2040,460.0,40,1,0.06
Invest,global,pv_decentral,2050,410.0,40,1,0.06
Invest,global,wind_offshore_floating,1950,2544.0,27,1,0.06
Invest,global,wind_offshore_floating,2030,2744.4,30,1,0.06
Invest,global,wind_offshore_floating,2040,2601.6,30,1,0.06
Invest,global,wind_offshore_floating,2050,2556.0,30,1,0.06
Invest,global,wind_offshore_foundation,1950,2120.0,27,1,0.06
Invest,global,wind_offshore_foundation,2030,2287.0,30,1,0.06
Invest,global,wind_offshore_foundation,2040,2168.0,30,1,0.06
Invest,global,wind_offshore_foundation,2050,2130.0,30,1,0.06
Invest,global,wind_onshore,1950,1330.0,27,1,0.06
Invest,global,wind_onshore,2030,1040.0,30,1,0.06
Invest,global,wind_onshore,2040,980.0,30,1,0.06
Invest,global,wind_onshore,2050,960.0,30,1,0.06
OMFix,global,BIO,1950,0.0,0,0,0.0
OMFix,global,BIO,2030,0.0,0,0,0.0
OMFix,global,Battery,2020,0.0,0,0,0.0
OMFix,global,Battery,2030,0.0,0,0,0.0
OMFix,global,Battery,2040,0.0,0,0,0.0
OMFix,global,Battery,2050,0.0,0,0,0.0
OMFix,global,CCGT,1950,0.0,0,0,0.0
OMFix,global,CCGT,2030,0.0,0,0,0.0
OMFix,global,COAL,1950,0.0,0,0,0.0
OMFix,global,COAL,2030,0.0,0,0,0.0
OMFix,global,DIE,1950,0.0,0,0,0.0
OMFix,global,DIE,2030,0.0,0,0,0.0
OMFix,global,Electrolyser,2020,0.0,0,0,0.0
OMFix,global,Electrolyser,2030,0.0,0,0,0.0
OMFix,global,Electrolyser,2040,0.0,0,0,0.0
OMFix,global,Electrolyser,2050,0.0,0,0,0.0
OMFix,global,GT,1950,0.0,0,0,0.0
OMFix,global,GT,2030,0.0,0,0,0.0
OMFix,global,H2_CCGT,2030,0.0,0,0,0.0
OMFix,global,H2_CCGT,2035,0.0,0,0,0.0
OMFix,global,H2_CCGT,2040,0.0,0,0,0.0
OMFix,global,H2_CCGT,2045,0.0,0,0,0.0
OMFix,global,H2_CCGT,2050,0.0,0,0,0.0
OMFix,global,H2_FC,2020,0.0,0,0,0.0
OMFix,global,H2_FC,2025,0.0,0,0,0.0
OMFix,global,H2_FC,2030,0.0,0,0,0.0
OMFix,global,H2_FC,2035,0.0,0,0,0.0
OMFix,global,H2_FC,2040,0.0,0,0,0.0
OMFix,global,H2_FC,2045,0.0,0,0,0.0
OMFix,global,H2_FC,2050,0.0,0,0,0.0
OMFix,global,H2_storage,2020,0.0,0,0,0.0
OMFix,global,H2_storage,2035,0.0,0,0,0.0
OMFix,global,H2_storage,2050,0.0,0,0,0.0
OMFix,global,Hydro,1950,0.0,0,0,0.0
OMFix,global,OCGT,1950,0.0,0,0,0.0
OMFix,global,OCGT,2030,0.0,0,0,0.0
OMFix,global,geoth,1950,0.0,0,0,0.0
OMFix,global,pv_central_fixed,1950,0.0,0,0,0.0
OMFix,global,pv_central_fixed,2030,0.0,0,0,0.0
OMFix,global,pv_central_fixed,2040,0.0,0,0,0.0
OMFix,global,pv_central_fixed,2050,0.0,0,0,0.0
OMFix,global,pv_central_track_azimuth,1950,0.0,0,0,0.0
OMFix,global,pv_central_track_azimuth,2030,0.0,0,0,0.0
OMFix,global,pv_central_track_azimuth,2040,0.0,0,0,0.0
OMFix,global,pv_central_track_azimuth,2050,0.0,0,0,0.0
OMFix,global,pv_decentral,1950,0.0,0,0,0.0
OMFix,global,pv_decentral,2030,0.0,0,0,0.0
OMFix,global,pv_decentral,2040,0.0,0,0,0.0
OMFix,global,pv_decentral,2050,0.0,0,0,0.0
OMFix,global,wind_offshore_floating,1950,0.0,0,0,0.0
OMFix,global,wind_offshore_floating,2030,0.0,0,0,0.0
OMFix,global,wind_offshore_floating,2040,0.0,0,0,0.0
OMFix,global,wind_offshore_floating,2050,0.0,0,0,0.0
OMFix,global,wind_offshore_foundation,1950,0.0,0,0,0.0
OMFix,global,wind_offshore_foundation,2030,0.0,0,0,0.0
OMFix,global,wind_offshore_foundation,2040,0.0,0,0,0.0
OMFix,global,wind_offshore_foundation,2050,0.0,0,0,0.0
OMFix,global,wind_onshore,1950,0.0,0,0,0.0
OMFix,global,wind_onshore,2030,0.0,0,0,0.0
OMFix,global,wind_onshore,2040,0.0,0,0,0.0
OMFix,global,wind_onshore,2050,0.0,0,0,0.0
