nodesData,years,storage_techs,unitsUpperLimit,unitsBuild,noExpansion
NEL,2035,H2_storage,50.0,0.0,0
NEL,2035,Hydro_reservoir,3000.0,0.0,1
NEL,2040,Hydro_reservoir,3000.0,0.0,1
NEL,2045,Hydro_reservoir,3000.0,0.0,1
NEL,2050,Battery,30.0,0.0,0
NEL,2050,H2_storage,50.0,0.0,0
NEL,2050,Hydro_reservoir,3000.0,0.0,1
NIS,2020,Battery,30.0,0.0,1
NIS,2020,H2_storage,50.0,0.0,1
NIS,2030,Battery,30.0,0.0,0
NIS,2035,H2_storage,50.0,0.0,0
NIS,2050,Battery,30.0,0.0,0
NIS,2050,H2_storage,50.0,0.0,0
OTG,2000,Hydro_reservoir,3000.0,729.5595,1
OTG,2020,Battery,30.0,0.0,1
OTG,2020,H2_storage,50.0,0.0,1
OTG,2020,Hydro_reservoir,3000.0,0.0,1
OTG,2025,Hydro_reservoir,3000.0,0.0,1
OTG,2030,Battery,30.0,0.0,0
OTG,2030,Hydro_reservoir,3000.0,0.0,1
OTG,2035,H2_storage,50.0,0.0,0
OTG,2035,Hydro_reservoir,3000.0,0.0,1
OTG,2040,Hydro_reservoir,3000.0,0.0,1
OTG,2045,Hydro_reservoir,3000.0,0.0,1
OTG,2050,Battery,30.0,0.0,0
OTG,2050,H2_storage,50.0,0.0,0
OTG,2050,Hydro_reservoir,3000.0,0.0,1
TRN,2020,Battery,30.0,0.0,1
TRN,2020,H2_storage,50.0,0.0,1
TRN,2030,Battery,30.0,0.0,0
TRN,2035,H2_storage,50.0,0.0,0
TRN,2050,Battery,30.0,0.0,0
TRN,2050,H2_storage,50.0,0.0,0
WEL,2020,Battery,30.0,0.0,1
WEL,2020,H2_storage,50.0,0.0,1
WEL,2030,Battery,30.0,0.0,0
WEL,2035,H2_storage,50.0,0.0,0
WEL,2050,Battery,30.0,0.0,0
WEL,2050,H2_storage,50.0,0.0,0
WTO,2000,Hydro_reservoir,3000.0,587.1371,1
WTO,2020,Battery,30.0,0.0,1
WTO,2020,H2_storage,50.0,0.0,1
WTO,2020,Hydro_reservoir,3000.0,0.0,1
WTO,2025,Hydro_reservoir,3000.0,0.0,1
WTO,2030,Battery,30.0,0.0,0
WTO,2030,Hydro_reservoir,3000.0,0.0,1
WTO,2035,H2_storage,50.0,0.0,0
WTO,2035,Hydro_reservoir,3000.0,0.0,1
WTO,2040,Hydro_reservoir,3000.0,0.0,1
WTO,2045,Hydro_reservoir,3000.0,0.0,1
WTO,2050,Battery,30.0,0.0,0
WTO,2050,H2_storage,50.0,0.0,0
WTO,2050,Hydro_reservoir,3000.0,0.0,1
