indicator,accNodesData,converter_techs,vintage,perUnitBuild,useAnnuity,amorTime,interest
OMFix,global,Electrolyser,2030,0.0,0,0,0.0
OMFix,global,Electrolyser,2040,0.0,0,0,0.0
OMFix,global,Electrolyser,2050,0.0,0,0,0.0
OMFix,global,GT,2000,0.0,0,0,0.0
OMFix,global,GT,2030,0.0,0,0,0.0
OMFix,global,Hydro,2000,0.0,0,0,0.0
OMFix,global,Hydro,2020,0.0,0,0,0.0
OMFix,global,Hydro,2030,0.0,0,0,0.0
OMFix,global,Hydro,2040,0.0,0,0,0.0
OMFix,global,Hydro,2050,0.0,0,0,0.0
OMFix,global,OCGT,2000,0.0,0,0,0.0
OMFix,global,OCGT,2030,0.0,0,0,0.0
OMFix,global,geoth,2000,0.0,0,0,0.0
OMFix,global,geoth,2050,0.0,0,0,0.0
OMFix,global,pv_central_fixed,2020,0.0,0,0,0.0
OMFix,global,pv_central_fixed,2030,0.0,0,0,0.0
OMFix,global,pv_central_fixed,2040,0.0,0,0,0.0
OMFix,global,pv_central_fixed,2050,0.0,0,0,0.0
OMFix,global,pv_central_track_azimuth,2020,0.0,0,0,0.0
OMFix,global,pv_central_track_azimuth,2030,0.0,0,0,0.0
OMFix,global,pv_central_track_azimuth,2040,0.0,0,0,0.0
OMFix,global,pv_central_track_azimuth,2050,0.0,0,0,0.0
OMFix,global,pv_decentral,2020,0.0,0,0,0.0
OMFix,global,pv_decentral,2030,0.0,0,0,0.0
OMFix,global,pv_decentral,2040,0.0,0,0,0.0
OMFix,global,pv_decentral,2050,0.0,0,0,0.0
OMFix,global,wind_offshore_floating,2020,0.0,0,0,0.0
OMFix,global,wind_offshore_floating,2030,0.0,0,0,0.0
OMFix,global,wind_offshore_floating,2040,0.0,0,0,0.0
OMFix,global,wind_offshore_floating,2050,0.0,0,0,0.0
OMFix,global,wind_offshore_foundation,2020,0.0,0,0,0.0
OMFix,global,wind_offshore_foundation,2030,0.0,0,0,0.0
OMFix,global,wind_offshore_foundation,2040,0.0,0,0,0.0
OMFix,global,wind_offshore_foundation,2050,0.0,0,0,0.0
OMFix,global,wind_onshore,2020,0.0,0,0,0.0
OMFix,global,wind_onshore,2030,0.0,0,0,0.0
OMFix,global,wind_onshore,2040,0.0,0,0,0.0
OMFix,global,wind_onshore,2050,0.0,0,0,0.0
