,,,,fixed,lower,upper
NIS,2020,FuelImport,Wood,,,5430
NIS,2020,Heat,FuelService_Coal_fossil,,,-652.1
NIS,2020,Heat,FuelService_Gas_fossil,,,-744.4
NIS,2020,Heat,FuelService_LF_bio,,,-0.04248
NIS,2020,Heat,FuelService_LF_fossil,,,-4.206
NIS,2020,Heat,FuelService_Wood,,,-2715
NIS,2020,Transport,FuelService_LF_bio,,,-21.78
NIS,2020,Transport,FuelService_LF_fossil,,,-2157
NIS,2020,Transport,H2,,,-0.002184
NIS,2050,FuelImport,Gas_bio,,,36.5
NIS,2050,FuelImport,LF_bio,,,29.5
NIS,2050,FuelImport,Wood,,,7177
NIS,2050,Heat,FuelService_Gas_bio,,,-18.25
NIS,2050,Heat,FuelService_Wood,,,-3588
NIS,2050,Transport,FuelService_LF_bio,,,-14.75
NIS,2050,Transport,H2,,,-92.06
OTG,2020,FuelImport,Coal_fossil,,,3684
OTG,2020,FuelImport,Gas_fossil,,,4863
OTG,2020,FuelImport,LF_bio,,,93.98
OTG,2020,FuelImport,LF_fossil,,,9304
OTG,2020,FuelImport,Wood,,,261.1
OTG,2020,Heat,FuelService_Coal_fossil,,,-1584
OTG,2020,Heat,FuelService_Gas_fossil,,,-173.4
OTG,2020,Heat,FuelService_LF_bio,,,-0.07178
OTG,2020,Heat,FuelService_LF_fossil,,,-7.106
OTG,2020,Heat,FuelService_Wood,,,-38.72
OTG,2020,Transport,FuelService_LF_bio,,,-15.12
OTG,2020,Transport,FuelService_LF_fossil,,,-1497
OTG,2020,Transport,H2,,,-0.001658
OTG,2050,FuelImport,Gas_bio,,,156.6
OTG,2050,FuelImport,LF_bio,,,88.27
OTG,2050,FuelImport,Wood,,,2712
OTG,2050,Heat,FuelService_Gas_bio,,,-0.6916
OTG,2050,Heat,FuelService_Wood,,,-402.1
OTG,2050,Transport,FuelService_Gas_bio,,,-0.2552
OTG,2050,Transport,FuelService_LF_bio,,,-12.53
OTG,2050,Transport,H2,,,-83.45
TRN,2020,FuelImport,Coal_fossil,,,37.69
TRN,2020,FuelImport,Gas_fossil,,,7835
TRN,2020,FuelImport,LF_bio,,,30.67
TRN,2020,FuelImport,LF_fossil,,,3037
TRN,2020,FuelImport,Wood,,,94.15
TRN,2020,Heat,FuelService_Coal_fossil,,,-18.85
TRN,2020,Heat,FuelService_Gas_fossil,,,-3918
TRN,2020,Heat,FuelService_Wood,,,-47.07
TRN,2020,Transport,FuelService_LF_bio,,,-15.34
TRN,2020,Transport,FuelService_LF_fossil,,,-1518
TRN,2020,Transport,H2,,,-0.001418
TRN,2050,FuelImport,Gas_bio,,,302.1
TRN,2050,FuelImport,LF_bio,,,29.87
TRN,2050,FuelImport,Wood,,,977.8
TRN,2050,Heat,FuelService_Gas_bio,,,-151
TRN,2050,Heat,FuelService_Wood,,,-488.9
TRN,2050,Transport,FuelService_LF_bio,,,-14.94
TRN,2050,Transport,H2,,,-86.74
WEL,2020,FuelImport,Coal_fossil,,,167.4
WEL,2020,FuelImport,Gas_fossil,,,1883
WEL,2020,FuelImport,LF_bio,,,106.2
WEL,2020,FuelImport,LF_fossil,,,1.051e+04
WEL,2020,FuelImport,Wood,,,402.2
WEL,2020,Heat,FuelService_Coal_fossil,,,-83.72
WEL,2020,Heat,FuelService_Gas_fossil,,,-941.5
WEL,2020,Heat,FuelService_LF_bio,,,-0.03345
WEL,2020,Heat,FuelService_LF_fossil,,,-3.311
WEL,2020,Heat,FuelService_Wood,,,-201.1
WEL,2020,Transport,FuelService_LF_bio,,,-53.07
WEL,2020,Transport,FuelService_LF_fossil,,,-5254
WEL,2020,Transport,H2,,,-0.00303
WEL,2050,FuelImport,Gas_bio,,,11.53
WEL,2050,FuelImport,LF_bio,,,139.8
WEL,2050,FuelImport,Wood,,,4177
WEL,2050,Heat,FuelService_Gas_bio,,,-5.25
WEL,2050,Heat,FuelService_Wood,,,-2089
WEL,2050,Transport,FuelService_Gas_bio,,,-0.5158
WEL,2050,Transport,FuelService_LF_bio,,,-69.88
WEL,2050,Transport,H2,,,-374.6
WTO,2020,FuelImport,Coal_fossil,,,451.3
WTO,2020,FuelImport,Gas_fossil,,,5419
WTO,2020,FuelImport,LF_bio,,,113
WTO,2020,FuelImport,LF_fossil,,,1.119e+04
WTO,2020,FuelImport,Wood,,,7994
WTO,2020,Heat,FuelService_Coal_fossil,,,-225.7
WTO,2020,Heat,FuelService_Gas_fossil,,,-2710
WTO,2020,Heat,FuelService_LF_bio,,,-0.7689
WTO,2020,Heat,FuelService_LF_fossil,,,-76.12
WTO,2020,Heat,FuelService_Wood,,,-3997
WTO,2020,Transport,FuelService_LF_bio,,,-55.73
WTO,2020,Transport,FuelService_LF_fossil,,,-5517
WTO,2020,Transport,H2,,,-0.005229
WTO,2050,FuelImport,Gas_bio,,,158
WTO,2050,FuelImport,LF_bio,,,85.1
WTO,2050,FuelImport,Wood,,,1.207e+04
WTO,2050,Heat,FuelService_Gas_bio,,,-79
WTO,2050,Heat,FuelService_Wood,,,-6036
WTO,2050,Transport,FuelService_LF_bio,,,-42.55
WTO,2050,Transport,H2,,,-254.9
