Name,Type,Primary_fuel,Secondary_fuel,Prime_mover_1,Prime_mover_2,Cogeneration,Capacity_MW,Largest_unit_MW,Primary_efficiency,Generating_units_number,Generating_units_notes,Year_built,Status,Cooling_type,Cooling_source,Group_name,Group_order,Owner_1,Owner_2,Operator,Connection_type,Avg_Ann_Gen_GWh,Hydro_max_storage_m3,Basin,Regional_auth,Region_name,Island_name,Node_name,GIP substation,Lifetime,Lifetime_notes,lat,long,Node,Techs
Jackson Estate,Thermal,Diesel,,,,BU,0.2,0.2,0,,,,,,,,,Jackson Estate,,Trustpower,Embedded,0,,,,NEL - Nelson/Marlbourough,SI ,BLN0331,BLN,,,-41.5063,173.8774,NEL,DIE
Mud House,Thermal,Diesel,,,,BU,0.2,0.2,0,,,,,,,,,Kiwi Wine Company,,Trustpower,Embedded,0,,,,NEL - Nelson/Marlbourough,SI ,BLN0331,BLN,,,-44.9038,169.3394,NEL,DIE
Orion Diesel II,Thermal,Diesel,,,,N,0.2,0.2,0,,,,,,,,,Orion,,Orion,Embedded,0,,,,CAN - Canterbury,SI ,ADD0661,ADD,,,-43.489,172.5633,CAN,DIE
South Pacific Cellars,Thermal,Diesel,,,,BU,0.2,0.2,0,,,,,,,,,South Pacific Cellars,,Trustpower,Embedded,0,,,,NEL - Nelson/Marlbourough,SI ,BLN0331,BLN,,,-41.2917,173.2442,NEL,DIE
Christchurch Airport (Harewood),Thermal,Diesel,,,,BU,0.1,0.1,0,,,,,,,,,Christchurch Airport Authority,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,ISL0661,ISL,,,-43.4849,172.5478,CAN,DIE
Darfield,Thermal,Diesel,,,,N,0.1,0.1,0,,,,,,,,,WD Boyes & Sons,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,HOR0331,HOR,,,-43.4898,172.1115,CAN,DIE
Cloudy Bay,Thermal,Diesel,,,,N,0,0,0,,,,,,,,,Indevin,,Trustpower,Embedded,0,,,,NEL - Nelson/Marlbourough,SI ,BLN0331,BLN,,,-41.4912,173.8789,NEL,DIE
Government Communications Satellite,Thermal,Diesel,,,,BU,0,0,0,,,,,,,,,Government Communications Satellite,,Trustpower,Embedded,0,,,,NEL - Nelson/Marlbourough,SI ,BLN0331,BLN,,,-41.5112,173.9575,NEL,DIE
Indevin,Thermal,Diesel,,,,BU,0,0,0,,,,,,,,,Indevin,,Trustpower,Embedded,0,,,,NEL - Nelson/Marlbourough,SI ,BLN0331,BLN,,,-41.543,174.0231,NEL,DIE
PukePine,Thermal,Diesel,,,,N,0,0,0,,,,,,,,,PukePine Sawmills,,Trustpower,Embedded,0,,,,BOP - Bay Of Plenty,NI ,TMI0331,TMI,,,-37.7769,176.312,BOP,DIE
Kawerau Binary,Geothermal,Geoothermal binary,,binary,,N,6,3.5,,,,1989,Operational,Air,,,,Nova Energy ,Ngati Tuwharetoa Geothermal Assets Limited,,,35,,Kawerau,,BOP - Bay of Plenty,NI,KAW0111,KAW,2039,yr built+50,-38.0621,176.718,BOP,
Ngatamariki,Geothermal,Geothermal binary,,binary,,N,82,21,,,,2013,Operational,Air,,,,Mercury,,Mercury,Grid,670,,Ngatamariki,,WTO - Waikato,NI,NAP2202,NAP,2063,yr built+50,-38.5462,176.1954,WTO,
Te Ahi O Maui,Geothermal,Geothermal binary,,binary,,N,25,25,,,,2018,Operational,Air,,,,Eastland Group,Kawerau A8D Ahuwhenua Trust,Eastland Group,,,,Kawerau,,BOP - Bay of Plenty,NI,KAW1101,KAW,2068,yr built+50,-38.063,176.7023,BOP,
Ngawha,Geothermal,Geothermal binary,,binary,,N,25,12,,,,1998,Operational,Air,,,,Top Energy,,Top Energy,Embedded,200,,Ngawha,,NIS - North Isthmus,NI,KOE0331,KOE,2048,yr built+50,-35.4179,173.8524,NIS,
Te Huka,Geothermal,Geothermal binary,,binary,,N,24,24,,,,2010,Operational,Air,,,,Contact Energy,,Contact,Embedded,190,,Wairakei-Tauhara,,WTO - Waikato,NI,WRK0331,WRK,2060,yr built+50,-38.6671,176.1166,WTO,
Wairakei Binary,Geothermal,Geothermal Binary,,binary,,N,14,14,,,,2005,Operational,Air,,,,Contact Energy,,Contact,Grid,83,,Wairakei-Tauhara,,WTO - Waikato,NI,WRK2201,WRK,2055,yr built+50,-38.6256,176.1037,WTO,
Kawerau-GDL (KA24),Geothermal,Geothermal binary,,binary,,N,8,8,,,,2008,Operational,Air,,,,Eastland Group,,Eastland Group,Embedded,70,,Kawerau,,BOP - Bay of Plenty,NI,KAW0111,KAW,2058,yr built+50,-38.0606,176.7223,BOP,
Te Mihi,Geothermal,Geothermal double flash,,condensed steam turbine (CST),,N,166,83,,,,2014,Operational,Mechanical draft cooling tower,,,,Contact Energy,,Contact,Grid,1372,,Wairakei-Tauhara,,WTO - Waikato,NI,THI2201,THI,2064,yr built+50,-38.619,176.047,WTO,
Kawerau (KGL),Geothermal,Geothermal double flash,,condensed steam turbine (CST),,N,107,107,,,,2008,Operational,Mechanical draft cooling tower,,,,Mercury,,Mercury,Grid,800,,Kawerau,,BOP - Bay of Plenty,NI,KAW1101,KAW,2058,yr built+50,-38.0622,176.7269,BOP,
Ohaaki,Geothermal,Geothermal double flash,,back pressure turbine (BPT),condensed steam turbine (CST),N,50,46,,,,1989,Operational,Natural draft cooling tower,,,,Contact Energy,,Contact,Grid,450,,Ohaaki,,WTO - Waikato,NI,OKI2201,OKI,2039,yr built+50,-38.5275,176.294,WTO,
TOPP1,Geothermal,Geothermal double flash,,condensed steam turbine (CST),,N,21,21,,,,2013,Operational,Mechanical draft cooling tower,,,,Ngati Tuwharetoa Geothermal Assets Limited,,Norske Skog Tasman,Embedded,210,,Kawerau,,BOP - Bay of Plenty,NI,KAW0112,KAW,2063,yr built+50,-38.065,176.7214,BOP,
Poihipi,Geothermal,Geothermal dry steam,,condensed steam turbine (CST),,N,50,55,,,,1996,Operational,Mechanical draft cooling tower,,,,Contact Energy,,Contact,Grid,411,,Wairakei-Tauhara,,WTO - Waikato,NI,PPI2201,PPI,2046,yr built+50,-38.6299,176.0415,WTO,
Mokai,Geothermal,Geothermal single flash,,combined cycle,,N,112,35,,,,1999,Operational,Air,,,,Tuaropaki Power Company,,Mercury,Grid,927,,Mokai,,WTO - Waikato,NI,WKM2201,WKM,2049,yr built+50,-38.5299,175.9243,WTO,
Rotokawa,Geothermal,Geothermal single flash,,combined cycle,,N,35,16,,,,1997,Operational,Air,,,,Mercury,,Mercury,Embedded,273,,Rotokawa,,WTO - Waikato,NI,WRK0331,WRK,2047,yr built+50,-38.6123,176.1932,WTO,
Kawerau BP,Geothermal,Geothermal single flash,,back pressure turbine (BPT),,N,8,3.8,,,,1966,Operational,Steam repurposed,,,,Norske Skog Tasman,,Todd Energy,Partially embedded,,,Kawerau,,BOP - Bay of Plenty,NI,KAW0111,KAW,2016,yr built+50,-38.0738,176.7199,BOP,
Wairakei (A&B),Geothermal,Geothermal triple flash,,back pressure turbine (BPT),condensed steam turbine (CST),N,163,30,,,,1958,Operational,River,Waikato river,,,Contact Energy,,Contact,Grid,979,,Wairakei-Tauhara,,WTO - Waikato,NI,WRK2201,WRK,2008,yr built+50,-38.6256,176.1037,WTO,
Nga Awa Purua,Geothermal,Geothermal triple flash,,condensed steam turbine (CST),,N,140,140,,,,2010,Operational,Mechanical evaporative water,,,,Mercury,Tauhara North No. 2 Trust,Mercury,Grid,1165,,Rotokawa,,WTO - Waikato,NI,NAP2201,NAP,2060,yr built+50,-38.6141,176.1839,WTO,
Huntly Unit 1-2-4,Thermal,Natural gas,Coal,steam turbine,,N,750,250,10300,3,3 x 250 MW,1983,Operational,,,,,Genesis,,Genesis,Grid,2850,,,,WTO - Waikato,NI ,HLY2202,HLY,2033,,-37.5573,175.1593,WTO,GT
Huntly Unit 5,Thermal,Natural gas,,combined cycle gas turbine (CCGT),,N,385,,7200,,,2007,Operational,,,,,Genesis,,Genesis,Grid,2410,,,,WTO - Waikato,NI ,HLY2201,HLY,2057,,-37.5577,175.1593,WTO,CCGT
Taranaki Combined Cycle,Thermal,Natural gas,,combined cycle gas turbine (CCGT),,N,377,,7600,,,1998,Operational,Mechanical draft cooling tower,Patea river,,,Contact,,Contact,Grid,2200,,,,TRN - Taranaki,NI ,SFD2201,SFD,2048,,-39.3323,174.3073,TRN,CCGT
Stratford,Thermal,Natural gas,,open cycle gas turbine (OCGT),,N,210,100,,,,2010,Operational,,,,,Contact,,Contact,Grid,350,,,,TRN - Taranaki,NI ,SFD2201,SFD,2052,,-39.3306,174.3197,TRN,OCGT
Junction Road,Thermal,Natural gas,,open cycle gas turbine (OCGT),,N,100,10.3,0,,"2 x 10.3 MW, 1 x 3.2 MW, 1 x 1.5 MW",2020,Operational,,,,,Todd Generation Taranaki,,Todd Generation Taranaki,,,,,,TRN - Taranaki,,JRD1101,JRD,2057,,-39.1265,174.1165,TRN,OCGT
McKee,Thermal,Natural gas,,open cycle gas turbine (OCGT),,Y,100,50,0,4,"2 x 50 MW, 2 x 2 MW",2013,Operational,,,,,Todd Generation Taranaki,,Todd Energy,Grid,300,,,,TRN - Taranaki,NI ,MKE1101,MKE,2050,,-39.0011,174.2377,TRN,OCGT
Hawera (Whareroa),Thermal,Natural gas,Distillate,steam turbine,,Y,69.6,26,9300,,"4 x 10.9 MW, 1 x 26 MW",1996,Operational,,,,,Todd Energy,Fonterra,Todd Energy,Grid,180,,,,TRN - Taranaki,NI ,HWA1102,HWA,2038,,-39.6061,174.3011,TRN,GT
Huntly Unit 6,Thermal,Natural gas,Diesel,open cycle gas turbine (OCGT),,N,48,,9800,,,2004,Operational,,,,,Genesis,,Genesis,Grid,335,,,,WTO - Waikato,NI ,HLY2202,HLY,2046,,-37.5577,175.1593,WTO,OCGT
Te Rapa,Thermal,Natural gas,,open cycle gas turbine (OCGT),,Y,44,44,12600,,,1999,Operational,,,,,Contact,,Contact,Partially embedded,200,,,,WTO - Waikato,NI ,TRC0331,TRC,2041,,-37.7273,175.2144,WTO,OCGT
Kawerau - TPP,Thermal,Natural gas,,,,Y,37,18.7,0,,"1 x 10 MW, 1 x 8 MW, 1 x 18.7 MW",1966,,,,,,Norske Skog Tasman,,Norske Skog Tasman,Grid,271,,,,BOP - Bay Of Plenty,NI ,KAW0112,KAW,,,-38.0739,176.7199,BOP,GT
Kapuni,Thermal,Natural gas,,open cycle gas turbine (OCGT),,Y,25,,,,,1998,Operational,,,,,Nova Energy,,Todd Energy,Grid,130,,,,TRN - Taranaki,NI ,KPA1101,KPA,2040,,-39.4837,174.134,TRN,OCGT
Edgecumbe,Thermal,Natural gas,,open cycle gas turbine (OCGT),,Y,10,5,12500,,2 x  5 MW,1996,Operational,,,,,Nova Energy,,Todd Energy,Embedded,54,,,,BOP - Bay Of Plenty,,EDG0331,EDG,2033,,-37.9764,176.8278,BOP,OCGT
Wellington Hospital,Thermal,Natural gas,Fuel oil,,,Y,10,2,0,,,1981,,,,,,Vector,,Meridian Energy,Embedded,0,,,,WEL - Wellington,NI ,CPK0331,CPK,,,-41.2865,174.7762,WEL,GT
Mangahewa,Thermal,Natural gas,,reciprocating engine,,,9,9,0,1,,2008,Operational,,,,,Nova Energy,,Todd Energy,Embedded,50,,,,TRN - Taranaki,NI ,HUI0331,SFD,2038,,-39.088,174.3354,TRN,GT
Auckland District Hospital,Thermal,Natural gas,Diesel,,,Y,3.6,1.8,0,,2 x 1.8MW,2005,,,,,,Auckland District Hospital Board,,Meridian Energy,Embedded,7,,,,AKL - Auckland,NI ,PEN0331,PEN,,,-36.8485,174.7633,AKL,GT
Forest Research,Thermal,Natural gas,,,,N,0.3,0.3,0,,,,,,,,,Todd Energy,,Todd Energy,Embedded,0,,,,BOP - Bay Of Plenty,NI ,ROT0111,ROT,,,-38.1606,176.2648,BOP,GT
Ravensdown,Thermal,Unknown,,,,Y,8,8,0,,,,,,,,,Vector,,Meridian Energy,Embedded,32,,,,HBY - Hawkes Bay,NI ,RDF0331,RDF,,,-39.5539,176.92,HBY,
Gisborne,Thermal,Unknown,,,,N,4.5,4.5,0,,,,,,,,,Eastland Networks,,Contact Energy,Embedded,1.2,,,,HBY - Hawkes Bay,NI ,GIS0501,GIS,,,-38.6647,178.0241,HBY,
Anchor Products,Thermal,Unknown,,,,N,3.9,3.9,0,,,,,,,,,Trustpower,,Trustpower,Embedded,3.3,,,,WTO - Waikato,NI ,TMU0111,TMU,,,-37.6975,175.2129,WTO,
Bombay,Thermal,Unknown,,,,N,2.3,2.3,0,,,,,,,,,Greymouth Power Company,,Contact Energy,Embedded,0,,,,AKL - Auckland,NI ,BOB1101,BOB,,,-42.4614,171.1983,AKL,
Totara Road,Thermal,Unknown,,,,N,0.8,0.8,0,,,,,,,,,Palmerston North City Council,,Mighty River Power,Embedded,2.3,,,,CEN - Central,NI ,LTN0331,LTN,,,-40.3847,175.5811,CEN,
Wairoa,Thermal,Unknown,,,,N,0.8,0.8,0,,,,,,,,,Eastland Networks,,Contact Energy,Embedded,0.2,,,,HBY - Hawkes Bay,NI ,WRA0111,WRA,,,-39.0348,177.4173,HBY,
"Hornby, Christchurch",Thermal,Unknown,,,,N,0.7,0.7,0,,,,,,,,,Ravensdown Fertiliser Co-op,,Meridian Energy,Embedded,1,,,,CAN - Canterbury,SI ,ISL0331,ISL,,,-43.543,172.5259,CAN,
Simeon Quay,Thermal,Unknown,,,,BU,0.7,0.7,0,,,,,,,,,Orion,,Orion,Embedded,0,,,,CAN - Canterbury,SI ,BRY0111,BRY,,,-43.6032,172.7138,CAN,
Maungatapere,Thermal,Unknown,,,,N,0.5,0.5,0,,,,,,,,,Trustpower,,Trustpower,Embedded,0.3,,,,NIS - North Isthmus,NI ,MPE0331,MPE,,,-35.7533,174.1997,NIS,
Ravensbourne,Thermal,Unknown,,,,Y,0.5,0.5,0,,,,,,,,,Ravensdown Fertiliser Co-op,,Meridian Energy,Embedded,1.1,,,,OTG - Otago/Southland,SI ,HWB0332,HWB,,,-45.8688,170.5406,OTG,
Iwitahi,Thermal,Unknown,,,,N,0.3,0.3,0,,,,,,,,,Radio New Zealand,,Trustpower,Embedded,0,,,,WTO - Waikato,NI ,WRK0331,WRK,,,-38.8039,176.2506,WTO,
Aluminium Diecasting Ltd,Thermal,Unknown,,,,N,0.2,0.2,0,,,,,,,,,Aluminium Diecasting,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,BRY0111,BRY,,,-43.5426,172.5855,CAN,
Middleton,Thermal,Unknown,,,,N,0.2,0.2,0,,,,,,,,,CWF Hamilton & Co,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,ISL0331,ISL,,,-43.5439,172.5831,CAN,
"Mokoia Road, Hawera",Thermal,Unknown,,,,N,0.2,0.2,0,,,,,,,,,Swift Energy,,Genesis Energy,Embedded,0.4,,,,TRN - Taranaki,NI ,HWA0331,HWA,,,-39.6475,174.3511,TRN,
Pacific Steel,Thermal,Unknown,,,,BU,0.2,0.2,0,,,,,,,,,Vector,,Trustpower,Embedded,0,,,,AKL - Auckland,NI ,MNG0331,MNG,,,-36.9465,174.8245,AKL,
"St Albans, Christchurch",Thermal,Unknown,,,,N,0.2,0.2,0,,,,,,,,,Christchurch City Council,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,PAP0661,PAP,,,-43.5026,172.6334,CAN,
Ascot Ave,Thermal,Unknown,,,,N,0.1,0.1,0,,,,,,,,,Manson Developments,,Mercury,Embedded,0,,,,AKL - Auckland,NI ,PEN0331,PEN,,,-36.8899,174.8025,AKL,
Templeton,Thermal,Unknown,,,,N,0.1,0.1,0,,,,,,,,,Department of Corrections,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,ISL0331,ISL,,,-43.5232,172.4677,CAN,
Belfast,Thermal,Unknown,,,,N,0,0,0,,,,,,,,,Christchurch City Council,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,PAP0111,PAP,,,-43.4432,172.6335,CAN,
Enfield,Thermal,Unknown,,,,N,0,0,0,,,,,,,,,Network Waitaki,,Meridian Energy,Embedded,0,,,,OTG - Otago/Southland,SI ,OAM0331,OAM,,,-45.0427,170.8711,OTG,
FoodStuffs Hickory Place,Thermal,Unknown,,,,N,0,0,0,,,,,,,,,Foodstuffs (South Island),,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,ISL0331,ISL,,,-43.5496,172.5065,CAN,
Kew Hospital,Thermal,Unknown,,,,N,0,0,0,,,,,,,,,Kew Hospital,,Trustpower,Embedded,0,,,,OTG - Otago/Southland,SI ,INV0331,INV,,,-46.4371,168.3574,OTG,
Kongahu,Thermal,Unknown,,,,N,0,0,0,,,,,,,,,Buller Electricity,,Simply Energy,Embedded,0,,,,WEC - West Coast,SI ,ORO1101,ORO,,,-41.2923,172.0933,CAN,
Mansons Developments,Thermal,Unknown,,,,N,0,0.002,0,,,,,,,,,Mercury,,Mercury,Embedded,0,,,,AKL - Auckland,NI ,PEN1101,PEN,,,-36.8529,174.7821,AKL,
Milburn,Thermal,Unknown,,,,N,0,0,0,,,,,,,,,Department of Corrections,,Meridian Energy,Embedded,0,,,,OTG - Otago/Southland,SI ,BAL0331,BAL,,,-46.085,170.0088,OTG,
Omarama,Thermal,Unknown,,,,N,0,0,0,,,,,,,,,Waitaki Power,,Meridian Energy,Embedded,0,,,,OTG - Otago/Southland,SI ,WTK0331,WTK,,,-44.4875,169.9679,OTG,
Otematata,Thermal,Unknown,,,,N,0,0,0,,,,,,,,,Network Waitaki,,Meridian Energy,Embedded,0,,,,OTG - Otago/Southland,SI ,OTT0011,OTT,,,-44.7311,170.4701,OTG,
Plimmerton,Thermal,Unknown,,,,N,0,0,0,,,,,,,,,Right House,,Meridian Energy,Embedded,0,,,,WEL - Wellington,NI ,PNI0331,PNI,,,-41.0823,174.8687,WEL,
Port Chalmers,Thermal,Unknown,,,,N,0,0.01,0,,,,,,,,,Port Otago,,Meridian Energy,Embedded,0,,,,OTG - Otago/Southland,SI ,HWB0331,HWB,,,-45.8142,170.6225,OTG,
Watercare Clevedon,Thermal,Unknown,,,,N,0,0,0,,,,,,,,,Watercare Services,,Meridian Energy,Embedded,0,,,,AKL - Auckland,NI ,TAK0331,TAK,,,-37.0425,175.0229,AKL,
Whangarei,Thermal,Unknown,,,,N,0,0,0,,,,,,,,,Northland District Health Board,,Meridian Energy,Embedded,0,,,,NIS - North Isthmus,NI ,MPE0331,MPE,,,-35.7313,174.3053,NIS,
Whisper Tech,Thermal,Unknown,,,,N,0,0.002,0,,,,,,,,,Whisper Tech,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,SBK0331,SBK,,,-43.528,172.6416,CAN,
Ballance Agri,Thermal,Waste heat,,,,Y,6.5,6.5,0,,,,,,,,,Trustpower,,Trustpower,Embedded,11,,,,BOP - Bay Of Plenty,NI ,MTM0111,MTM,,,-37.6658,176.1845,BOP,BIO
Manapouri,Hydroelectric,Water,,hydrokinetic turbine,,N,800,121.5,,7,,1971,Operational,,,,,Meridian Energy,,Meridian Energy,Grid,5100,382,Manapouri,Environment Southland,OTG - Otago/Southland,SI,MAN2201,MAN,2031,consent expiry,-45.5211,167.2774,OTG,
Benmore,Hydroelectric,Water,,hydrokinetic turbine,,N,540,90,0.818,6,6 x 90 MW,1966,Operational,,,Waitaki Hydro Scheme,6,Meridian Energy,,Meridian Energy,Grid,2500,74,Waitaki,ECan,SCN - South Canterbury,SI,BEN2202,BEN,2025,consent expiry,-44.566,170.1992,CAN,
Clyde,Hydroelectric,Water,,hydrokinetic turbine,,N,432,108,0.513,4,4 x 108 MW,1992,Operational,,,Clutha Hydro Scheme,,Contact,,Contact,Grid,2050,24,Clutha,Otago,OTG - Otago/Southland,SI,CYD2201,CYD,2042,consent expiry,-45.18,169.3064,OTG,
Roxburgh,Hydroelectric,Water,,hydrokinetic turbine,,N,320,40,0.388,8,8 x 40 MW,1956,Operational,,,Clutha Hydro Scheme,,Contact,,Contact,Grid,1610,0,Clutha,Otago,OTG - Otago/Southland,SI,ROX1101,ROX,2042,consent expiry,-45.4758,169.3226,OTG,
Ohau A,Hydroelectric,Water,,hydrokinetic turbine,,N,264,66,0.501,4,4 x 66 MW,1979,Operational,,,Waitaki Hydro Scheme,3,Meridian Energy,,Meridian Energy,Grid,1150,0,Waitaki,ECan,SCN - South Canterbury,SI,OHA2201,OHA,2025,consent expiry,-44.2643,170.0324,CAN,
Tokaanu,Hydroelectric,Water,,hydrokinetic turbine,,N,240,60,1.754,4,4 x 60 MW,1973,Operational,,,Tongariro Power Development,1,Genesis,,Genesis,Grid,763,0,Tongariro,Waikato,CEN - Central,NI,TKU0331,TKU,2039,consent expiry,-38.9812,175.7685,CEN,
Aviemore,Hydroelectric,Water,,hydrokinetic turbine,,N,220,55,0.31,4,4 x 55 MW,1968,Operational,,,Waitaki Hydro Scheme,7,Meridian Energy,,Meridian Energy,Grid,930,17,Waitaki,ECan,SCN - South Canterbury,SI,AVI2201,AVI,2025,consent expiry,-44.566,170.1992,CAN,
Ohau B,Hydroelectric,Water,,hydrokinetic turbine,,N,212,53,0.417,4,4 x 53 MW,1980,Operational,,,Waitaki Hydro Scheme,4,Meridian Energy,,Meridian Energy,Grid,970,0,Waitaki,ECan,SCN - South Canterbury,SI,OHB2201,OHB,2025,consent expiry,-44.2997,170.1129,CAN,
Ohau C,Hydroelectric,Water,,hydrokinetic turbine,,N,212,53,0.42,4,4 x 53 MW,1985,Operational,,,Waitaki Hydro Scheme,5,Meridian Energy,,Meridian Energy,Grid,970,0,Waitaki,ECan,SCN - South Canterbury,SI,OHC2201,OHC,2025,consent expiry,-44.342,170.1821,CAN,
Arapuni,Hydroelectric,Water,,hydrokinetic turbine,,N,196.7,26.7,0.463,8,4 x 26.7 MW; 4x 24.7 MW,1929,Operational,,,Waikato Hydro Scheme,7,Mercury,,Mercury,Grid,805,10,Waikato,Waikato,WTO - Waikato,NI,ARI1101,ARI,2041,consent expiry,-38.0704,175.6438,WTO,
Maraetai I,Hydroelectric,Water,,hydrokinetic turbine,,N,176,36,0.498,5,5 x 36 MW,1952,Operational,,,Waikato Hydro Scheme,5,Mercury,,Mercury,Grid,442.5,0,Waikato,Waikato,WTO - Waikato,NI,MTI2201,WKM,2041,consent expiry,-38.3517,175.741,WTO,
Maraetai II,Hydroelectric,Water,,hydrokinetic turbine,,N,176,36,0.498,5,5 x 36 MW,1970,Operational,,,Waikato Hydro Scheme,5,Mercury,,Mercury,Grid,442.5,0,Waikato,Waikato,WTO - Waikato,NI,MTI2201,WKM,2041,consent expiry,-38.3517,175.741,WTO,
