indicator,accNodesData,converter_techs,vintage,perUnitBuild,amorTime,useAnnuity,interest
OMFix,global,geoth,1950,0,0,0,0
OMFix,global,pv_central_fixed,1950,0,0,0,0
OMFix,global,pv_central_fixed,2030,0,0,0,0
OMFix,global,pv_central_fixed,2040,0,0,0,0
OMFix,global,pv_central_fixed,2050,0,0,0,0
OMFix,global,pv_decentral,1950,0,0,0,0
OMFix,global,pv_decentral,2030,0,0,0,0
OMFix,global,pv_decentral,2040,0,0,0,0
OMFix,global,pv_decentral,2050,0,0,0,0
OMFix,global,wind_offshore_floating,1950,0,0,0,0
OMFix,global,wind_offshore_floating,2030,0,0,0,0
OMFix,global,wind_offshore_floating,2040,0,0,0,0
OMFix,global,wind_offshore_floating,2050,0,0,0,0
OMFix,global,wind_offshore_foundation,1950,0,0,0,0
OMFix,global,wind_offshore_foundation,2030,0,0,0,0
OMFix,global,wind_offshore_foundation,2040,0,0,0,0
OMFix,global,wind_offshore_foundation,2050,0,0,0,0
OMFix,global,wind_onshore,1950,0,0,0,0
OMFix,global,wind_onshore,2030,0,0,0,0
OMFix,global,wind_onshore,2040,0,0,0,0
OMFix,global,wind_onshore,2050,0,0,0,0
