Ea_gen_code,Name,Type,Primary_fuel,Secondary_fuel,Prime_mover_1,Prime_mover_2,Cogeneration,Capacity_MW,Capacity_change_MW,Largest_unit_MW,Primary_efficiency,Generating_units_number,Generating_units_notes,Year,Status,Cooling_type,Cooling_source,Group_name,Group_order,Owner_1,Owner_2,Operator,Connection_type,Avg_Ann_Gen_GWh,Hydro_max_storage_m3,Basin,Regional_auth,Region_name,Island_name,Node_name,GIP substation,Lifetime,Lifetime_notes,Comments,Data_source,lat,long
atiamuri,Atiamuri,Hydroelectric,Water,,hydrokinetic turbine,,N,74,,21,0.204,4,4 x 21 MW,1957,Operational,,,Waikato Hydro Scheme,3,Mercury,,Mercury,Grid,289,0,Waikato,Waikato,BOP - Bay of Plenty,NI,ATI2201,WKM,2041,consent expiry,"Construction was completed six months ahead of schedule and the station was commissioned early in November 1958. The additional generation from the Atiamuri station, together with the newly built Meremere coal-fired station, allowed post-war electricity restrictions in the North Island to be lifted by Christmas 1958. Although originally designed for three generators, a fourth was later added and commissioned in 1962. (Note : The reconcilation process models Atiamuri as a grid connected network rather than generation)","MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015), https://www.power-technology.com/marketdata/atiamuri-new-zealand-2/ for units cap. (2022)",-38.39188259,176.022283
,Auckland District Hospital,Thermal,Natural gas,Diesel,,,Y,3.6,,1.8,0,2,2 x 1.8MW,2005,Operational,,,,,Auckland District Hospital Board,,Meridian Energy,Embedded,7,,,,AKL - Auckland,NI ,PEN0331,PEN,,,"Built by Energy for Industry, Baseload heat: 4.2MW, electricity: 3.6MW net, standby power: 2.8MW",EA exisiting generating plants (2015),-36.84846,174.76333
aviemore,Aviemore,Hydroelectric,Water,,hydrokinetic turbine,,N,220,,55,0.31,4,4 x 55 MW,1968,Operational,,,Waitaki Hydro Scheme,7,Meridian Energy,,Meridian Energy,Grid,930,17,Waitaki,ECan,SCN - South Canterbury,SI,AVI2201,AVI,2025,consent expiry,Due to limited storage capacity Aviemore predominantly acts as run of river station with as water flows from Lake Benmore and through to Lake Waitaki.,MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-44.56601,170.19917
,Ballance Agri,Thermal,Waste heat,,,,Y,6.5,,6.5,0,1,1 x 6.5 MW (inferred as largest unit = cap.),,,,,,,Trustpower,,Trustpower,Embedded,11,,,,BOP - Bay Of Plenty,NI ,MTM0111,MTM,,,"Our Mount Maunganui site produces superphosphate – the most common fertiliser used in New Zealand farming. It contains both phosphate and sulphur, two nutrients that are typically deficient in New Zealand soils. 
 
We import the phosphate rock from all around the world to use in the manufacture of fertiliser. The sulphur we use is a waste product from oil refining and comes from two main sources – the Marsden Point refinery in Whangarei, and Canada. 
 
We recycle the sulphur to make sulphuric acid. This is then reacted with the phosphate rock to solubilise the phosphate, making superphosphate fertiliser. The production of sulphuric acid also generates heat, which we capture and convert to electricity. We create enough electricity to power our site and the excess (which is enough to power around 3000 homes in our community) is fed back into the National Grid. Sulphuric acid is also sold into local industry for industrial cleaning, sanitation, wastewater treatment, power generation and food/pharmaceutical manufacture.",EA exisiting generating plants (2015),-37.66581379,176.1844602
,Belfast,Thermal,Unknown,,,,N,0,,0,0,,,,,,,,,Christchurch City Council,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,PAP0111,PAP,,,Location estimated (Belfast town),EA exisiting generating plants (2015),-43.44319921,172.6335497
benmore,Benmore,Hydroelectric,Water,,hydrokinetic turbine,,N,540,,90,0.818,6,6 x 90 MW,1966,Operational,,,Waitaki Hydro Scheme,6,Meridian Energy,,Meridian Energy,Grid,2500,74,Waitaki,ECan,SCN - South Canterbury,SI,BEN2202,BEN,2025,consent expiry,"Lake Benmore draws water from the Ohau, Pukaki and Tekapo Rivers and the Ohau canal as the culmination point for the outflows from the Upper Waitaki stations. With a capacity of 540 MW the Benmore station is the largest of the Waitaki system. Benmore is also the location of the southern stating point of the HVDC line that links the electricity systems of the North and South Islands. Previously injected onto the grid through 2 metered buses BEN0162 and BEN0163. Since reconfigured and injects through BEN2202.",MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-44.56601,170.19918
,Blue Mountain Lumber,Thermal,Wood waste,,,,Y,1.4,,1.4,0,1,1 x 1.4 MW (inferred as largest unit = cap.),2000,Closed,,,,,Blue Mountain Lumber,,Meridian Energy,Embedded,1.9,,,,OTG - Otago/Southland,SI ,GOR0331,GOR,,,There is a 10 MWth steam boiler fuelled by the sawmill wood residues and a 1.4 MWe steam turbine generator to utilise any surplus steam for electricity generation. The 1.9 Gwh annual output reflects the turbine being used as a means to dump heat and so is operated for about 20% of the time. Blue Mountain Lumber sawmill closed in 2009.,"EA exisiting generating plants (2015), https://www.odt.co.nz/regions/south-otago/unwelcome-stillness-settles-sawmill",-45.4648,167.853
,Bombay,Thermal,Unknown,,,,N,2.3,,2.3,0,1,1 x 2.3 MW (inferred as largest unit = cap.),,,,,,,Greymouth Power Company,,Contact Energy,Embedded,0,,,,AKL - Auckland,NI ,BOB1101,BOB,,,GWh and MW estimated from Centralised Dataset. Location estimated (Greymouth town),EA exisiting generating plants (2015),-42.46135397,171.1982627
,Bream Bay Peaker,Thermal,Diesel,,reciprocating engine,,N,9,,,,,,2011,Operational,,,,,Manawa Energy,,Trustpower,,,,,,NIS - North Isthmus,NI ,,BRB,2036,,,MBIE thermal stack update (2020),-35.72511,174.3237
,Brooklyn Power Station,Hydroelectric,Water,,hydrokinetic turbine,,N,0.2,,0.2,,1,1 x 0.2 MW,1934,Operational,,,,,Lloyd Wensley,,Lloyd Wensley,Embedded,1,0,,Tasman,NEL - Nelson/Malbourough,SI,MOT0111,MOT,,,location estimated,EA exisiting generating plants (2015),-41.09724695,172.9725871
,Burwood Hospital,Thermal,Biomass,Diesel,,,N,0.2,,0.2,0,1,1 x 0.2 MW (inferred as largest unit = cap.),2017,Operational,,,,,Christchurch District Health,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,BRY0661,BRY,,,GWh and MW data from Centralised Dataset 2006 calendar year,"EA exisiting generating plants (2015), https://www.stuff.co.nz/environment/131623473/new-biomass-boilers-help-slash-canterburys-reliance-on-coal-for-hospitals",-43.48021053,172.6841426
,Burwood Hospital,Thermal,Coal,Diesel,,,N,,,,,,,,Replaced,,,,,Christchurch District Health,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,BRY0661,BRY,,,GWh and MW data from Centralised Dataset 2006 calendar year,https://www.stuff.co.nz/environment/131623473/new-biomass-boilers-help-slash-canterburys-reliance-on-coal-for-hospitals,-43.48021053,172.6841426
,Chathams Wind,Wind,Wind,,,,,0.45,,0.225,,2,2 x 0.225 MW,2010,Installed,,,,,CBD Energy,,CBDEnergy,Embedded,1.4,, ,,OTH - Other,OT ,OFFGRID,OFFGRID,,,"The wind farm has two 225kW Vergnet machines, which have been integrated with the existing diesel generation plant on the island. The turbines are two-bladed machines designed in France. They are designed so they can be raised and lowered on guy ropes, mainly to prevent damage during storms, but also for maintenance.",EA exisiting generating plants (2015),-44.03405,-176.3949
,Chathams Wind,Wind,Wind,,,,,0.45,,0.225,,2,2 x 0.225 MW,2014,Unused,,,,,CBD Energy,,CBDEnergy,Embedded,,, ,,OTH - Other,OT ,OFFGRID,OFFGRID,,,"The contract was terminated in 2014 after the parent of Chatham Island Wind, now known as BlueNRGY Group, got into financial difficulties. While BlueNRGY emerged from administration in 2015, efforts to renegotiate the agreement on terms more favourable to the local community and get the turbines running again were unsuccessful.",http://www.sharechat.co.nz/article/106fadb7/owner-of-mothballed-wind-turbines-on-chatham-islands-finally-put-in-liquidation.html?printable=1,-44.03405,-176.3949
,Christchurch Airport (Harewood),Thermal,Diesel,,,,BU,0.1,,0.1,0,1,1 x 0.1 MW (inferred as largest unit = cap.),,,,,,,Christchurch Airport Authority,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,ISL0661,ISL,,,"818 Wairakai Road, Harewood. '3 units (separate points of supply) HAR0011 HAR0012 HAR0013. Max generation 0.04MW for HAR0011, 0.09MW for HAR0012 and 0.11 MW for HAR0013",EA exisiting generating plants (2015),-43.48487052,172.5477928
,Christchurch City Wastewater,Thermal,Biogas,,,,N,3.2,,3.2,0,1,1 x 3.2 MW (inferred as largest unit = cap.),1996,Installed,,,,,Orion,,Meridian Energy,Embedded,2,,,,CAN - Canterbury,SI ,BRY0111,BRY,,,"AKA Bromley wastewater treatment plant, conflicting notes: congeneration Y and 2.4MW capacity according to https://www.biogas.org.nz/documents/resource/WB06-biogas-overview.pdf (2015)",EA exisiting generating plants (2015),-43.52477623,172.7013095
,Christchurch Hospital Campus,Thermal,Diesel,,,,BU,0.3,,0.3,0,1,1 x 0.3 MW (inferred as largest unit = cap.),,,,,,,Christchurch District Health,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,ADD0661,ADD,,,"Backup plant, max generation in CDS 0.26 MW",EA exisiting generating plants (2015),-43.53425517,172.6255438
,Christchurch Wind Turbine,Wind,Wind,,,,,0.5,,0.5,,1,1 x 0.5 MW,2003,,,,,,Orion,,Meridian Energy,Embedded,0.8,,,,CAN - Canterbury,SI ,SPN0331,SPN,,,Located at Gebbies Pass. GWh and MW data from Centralised Dataset 2006 calendar year,EA exisiting generating plants (2015),-43.69769,172.64179
,Cleardale,Hydroelectric,Water,,hydrokinetic turbine,,N,0.9,,0.9,,1,1 x 0.9 MW,2010,Operational,,,,,MainPower,,MainPower,Embedded,4,0,,ECan,CAN - Canterbury,SI,ASB0661,ASB,,,,"EA exisiting generating plants (2015), https://www.stuff.co.nz/business/farming/78003346/going-green-and-staying-out-of-the-red",-43.45252348,171.5842755
,Cloudy Bay,Thermal,Diesel,,,,N,0,,0,0,,,,,,,,,Indevin,,Trustpower,Embedded,0,,,,NEL - Nelson/Marlbourough,SI ,BLN0331,BLN,,,,EA exisiting generating plants (2015),-41.49121159,173.8789077
clyde,Clyde,Hydroelectric,Water,,hydrokinetic turbine,,N,432,,108,0.513,4,4 x 108 MW,1992,Operational,,,Clutha Hydro Scheme,,Contact,,Contact,Grid,2050,24,Clutha,Otago,OTG - Otago/Southland,SI,CYD2201,CYD,2042,consent expiry,"Clyde is the largest concrete gravity dam in New Zealand. There are a million cubic metres of concrete in the dam with another 200,000 cubic metres in the powerhouse. Before Lake Dunstan could be filled and the power station commissioned, a great deal of landslide stabilisation work was carried out behind the dam. Over 14 kilometres of tunnels were excavated into the hillsides to prevent water build-up that could destabilise the hillsides. Huge buttresses of compacted rock and gravel have been built to strengthen the hillsides and a total of 3,500 measuring and monitoring instruments have been installed around the lakeshore.",MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-45.18002,169.30644
cobb,Cobb,Hydroelectric,Water,,hydrokinetic turbine,,N,34.3,,10.45,4.405,6,4 x 3.35 MW; 2 x 10.45 MW,1944,Operational,,,,,Trustpower,,Trustpower,Grid,190,24,Cobb,Tasman,NEL - Nelson/Malbourough,SI,COB0661,STK,2038,consent expiry,"Cobb is located in the Tasman Mountains northwest of Nelson, at the confluence of the Cobb and Takaka Rivers. The Cobb station was built by the Government during the 1940s and 1950s and connected to the national grid in 1956. The station was put up for sale in 1999 following the carve-up of state-owned ECNZ into three companies - Meridian Energy, Mighty River Power and Genesis. NGC acquired the Cobb Valley station in 2000, when it bought TransAlta New Zealand. TransAlta had owned the station for just over a year, after buying it from Meridian Energy.  In March 2003 TrustPower completed the purchase of the Cobb hydro power station for $92.5m from NGC.",MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-41.0861,172.7325
coleridge,Coleridge,Hydroelectric,Water,,hydrokinetic turbine,,N,45,,9.5,1.009,4,,1914,Operational,,,,,Trustpower,,Trustpower,Grid,300,138,Rakaia,ECan,CAN - Canterbury,SI,COL0661,COL,2031,consent expiry,"The Coleridge power station, about 100km inland from Christchurch, was New Zealand's first major hydropower scheme. The Government completed a study of the suitability of the area for hydro electricity generation in 1906 and commenced work in 1911. In 1914 the power station was commissioned with three turbines and was then progressively expanded over the next decade. Much of the station still dates from this period. In 1930 the Acheron River was diverted into Lake Coleridge, increasing the catchment area to more than 800 square kilometres and in 1977 a diversion of the Wilberforce River further increased the amount of water, boosting average annual output to 205 GWh. The Coleridge power station is fed from Lake Coleridge via 2 kilometres of tunnels and pipes, and after passing through the powerhouse the water empties into the Rakaia River approximately 140 meters below the level of the Lake. Lake Coleridge can store 2 to 3 months inflows. TrustPower purchased Coleridge from ECNZ in October 1998 for $91 million and over the next two years upgraded the station at a cost of about $6 million. The investment increased capacity from 36 MW to 45 MW and target annual output from 205 GWh to 300 GWh. Resource consents to re-permit the existing scheme were granted in 1996 for a 35-year term to 2031.",MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-43.36404,171.52669
,Crowne Plaza,Thermal,Unknown,,,,N,0.1,,0.1,0,,,2011,Decomissioned,,,,,Crowne Plaza,,Meridian Energy,Embedded,,,,,CAN - Canterbury,SI ,ADD0661,ADD,,,GWh and MW data from Centralised Dataset 2006 calendar year. Assumed decommissioned with the demolition of the earthquake damaged Crown Plaza building.,EA exisiting generating plants (2015),,
,Crowne Plaza,Thermal,Unknown,,,,N,0.1,,0.1,0,,,,Installed,,,,,Crowne Plaza,,Meridian Energy,Embedded,,,,,CAN - Canterbury,SI ,ADD0661,ADD,,,GWh and MW data from Centralised Dataset 2006 calendar year. Assumed decommissioned with the demolition of the earthquake damaged Crown Plaza building.,EA exisiting generating plants (2015),,
,Darfield,Thermal,Diesel,,,,N,0.1,,0.1,0,1,1 x 0.1 MW (inferred as largest unit = cap.),,,,,,,WD Boyes & Sons,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,HOR0331,HOR,,,"Canterbury Clay Bricks, Negligible GWh",EA exisiting generating plants (2015),-43.4898,172.11147
,Deep Stream,Hydroelectric,Water,,hydrokinetic turbine,,N,5,,2.5,,2,2 x 2.5 MW,2008,Operational,,,,,Trustpower,,Trustpower,Embedded,25,0,Deep Stream,Otago,OTG - Otago/Southland,SI,HWB0331,HWB,2038,consent expiry,,MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-45.80356984,169.9052649
kumara_dillmans,Dillmans,Hydroelectric,Water,,hydrokinetic turbine,,N,3.5,,3.5,,1,1 x 3.5 MW,1928,Operational,,,Dillmans Hydro Power Scheme,2,Trustpower,,Trustpower,Embedded,16,0,,,WEC - West Coast,SI,KUM0661,KUM,,,"This scheme had its beginnings in 1927, with power being generated for the first time in 1928. The scheme today consists of the Duffers Power Station, fed by races that in turn feed into the Kawhaka Creek, downstream artificial lake storage that in turn feeds the Dillmans Power Station, and the Kumara Power station fed by a race from Dillmans. With heads of 13 metres at Duffers, 46 metres at Dillmans and 78 metres at Kumara, and capacities of 500 kW, 3,500 kW and 6,500 kW respectively, the scheme has an average annual output of 47.9 GWh.",EA exisiting generating plants (2015),-42.65546016,171.1949089
,Drysdale,Hydroelectric,Water,,hydrokinetic turbine,,N,0.1,,0.1,,1,1 x 0.1 MW,,,,,,,Drysdale Hydro Company,,Mercury,Embedded,0.3,0,,,CEN - Central,NI,MTN0331,MTN,,,GWh and MW data from Centralised Dataset 2006 calendar year,EA exisiting generating plants (2015),-39.54668965,174.5687446
,Duffers,Hydroelectric,Water,,hydrokinetic turbine,,N,0.5,,0.5,,1,1 x 0.5 MW,1928,Operational,,,Dillmans Hydro Power Scheme,1,Trustpower,,Trustpower,Embedded,2,0,,,WEC - West Coast,SI,KUM0662,KUM,,,"This scheme had its beginnings in 1927, with power being generated for the first time in 1928. The scheme today consists of the Duffers Power Station, fed by races that in turn feed into the Kawhaka Creek, downstream artificial lake storage that in turn feeds the Dillmans Power Station, and the Kumara Power station fed by a race from Dillmans. With heads of 13 metres at Duffers, 46 metres at Dillmans and 78 metres at Kumara, and capacities of 500 kW, 3,500 kW and 6,500 kW respectively, the scheme has an average annual output of 47.9 GWh.",EA exisiting generating plants (2015),-42.72979756,171.2060344
edgecumbe,Edgecumbe,Thermal,Natural gas,,open cycle gas turbine (OCGT),,Y,10,,5,12500,2,2 x 5 MW,1996,Operational,,,,,Nova Energy,,Todd Energy,Embedded,54,,,,BOP - Bay Of Plenty,,EDG0331,EDG,2033,,,MBIE thermal stack update (2020); EA exisiting generating plants (2015),-37.97639,176.82783
,Enfield,Thermal,Unknown,,,,N,0,,0,0,,,,,,,,,Network Waitaki,,Meridian Energy,Embedded,0,,,,OTG - Otago/Southland,SI ,OAM0331,OAM,,,Location estimated (Enfield town),EA exisiting generating plants (2015),-45.04269834,170.8711146
,Falls Dam,Hydroelectric,Water,,hydrokinetic turbine,,N,1.3,,1.3,,1,1 x 1.3 MW,2003,Operational,,,,,Pioneer Generation,,Trustpower,Embedded,9,,,,OTG - Otago/Southland,SI,NSY0331,NSY,,,GWh and MW data from Centralised Dataset 2006 calendar year,EA exisiting generating plants (2015),-44.8741676,169.901936
,Flat Hill,Wind,Wind,,,,,6.8,,0.85,,8,8 x 0.85 MW,2015,Operational,,,,,Pioneer Generation,,Trustpower,Embedded,24,,,,OTG - Otago/Southland,SI ,INV0331,INV,,,Annual output estimated based on 40% utilisation,EA exisiting generating plants (2015),-46.60679,168.3369
wheao_flaxy,Flaxy,Hydroelectric,Water,,hydrokinetic turbine,,N,2,,2,,1,1 x 2 MW,1982,Operational,,,,,Trustpower,,Trustpower,Grid,,0,Flaxy,Bay of Plenty,BOP - Bay of Plenty,NI,ROT0111,ROT,2026,consent expiry,"The Wheao and Flaxy scheme had it's beginnings in 1974, with the scheme being commissioned in 1980. The Wheao Hydro Electric Scheme, in the Kaingaroa forest is 82km from Rotorua, 25km from Murupara and 74km from Taupo. The 26MW scheme produces power using water from the Wheao and Rangitaiki Rivers as well as from Flaxy creek. Water from the the Rangitaiki River flows along a 4.7 kilometre open canal into the Wheao penstock intake. When a lot of power is needed the Flaxy Power Station supplements supply. A complex arrangement of canals, tunnels and pipelines feed the water from the upper Wheao River and Flaxy Creek to the Flaxy Power station.",MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-38.6340218,176.557952
,Fletcher Forests,Thermal,Wood waste,,,,N,3.5,,3.5,0,1,1 x 3.5 MW (inferred as largest unit = cap.),,,,,,,Trustpower,,Trustpower,Embedded,26,,,,BOP - Bay Of Plenty,NI ,ROT0111,ROT,,,"GWh data from Centralised Dataset 2006 calendar year, capacity 3.5MW, average closer to 3MW",EA exisiting generating plants (2015),-38.17992847,176.2612036
,FoodStuffs Hickory Place,Thermal,Unknown,,,,N,0,,0,0,,,,,,,,,Foodstuffs (South Island),,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,ISL0331,ISL,,,GWh and MW estimated from Centralised Dataset,EA exisiting generating plants (2015),-43.54960638,172.5065428
,Forest Research,Thermal,Natural gas,,,,N,0.3,,0.3,0,1,1 x 0.3 MW (inferred as largest unit = cap.),,,,,,,Todd Energy,,Todd Energy,Embedded,0,,,,BOP - Bay Of Plenty,NI ,ROT0111,ROT,,,GWh and MW data from Centralised Dataset 2006 calendar year. Location estimated (Scion head office),EA exisiting generating plants (2015),-38.1606035,176.2647578
,Fox,Hydroelectric,Water,,hydrokinetic turbine,,N,0.2,,0.2,,1,1 x 0.2 MW,,,,,,,Trustpower,,Trustpower,Embedded,1.9,,,,WEC - West Coast,SI,HKK0661,HKK,,,GWh and MW data from Centralised Dataset 2006 calendar year,EA exisiting generating plants (2015),-43.9729386,168.950532
,Fraser,Hydroelectric,Water,,hydrokinetic turbine,,N,2.8,,2.8,,1,1 x 2.8 MW,1956,Operational,,,,,Pioneer Generation,,Trustpower,Embedded,19,,,,OTG - Otago/Southland,SI,CYD0331,CYD,,,,EA exisiting generating plants (2015),-45.2356878,169.2006413
,Gisborne,Thermal,Unknown,,,,N,4.5,,4.5,0,1,1 x 4.5 MW (inferred as largest unit = cap.),,,,,,,Eastland Networks,,Contact Energy,Embedded,1.2,,,,HBY - Hawkes Bay,NI ,GIS0501,GIS,,,"GWh from Centralised Dataset 2006 calendar year. CDS peak was 21.1MW but only occurred once in 2006, ramping up and down over a 3 hour period and again to a peak of 12.5MW 2 days later (origin unknown). Normal generation appears to peak at around 4.5MW. Location estimated ",EA exisiting generating plants (2015),-38.6647418,178.0241355
glenbrook_kilns,Glenbrook,Thermal,Coal,Natural gas waste heat,steam turbine,,Y,112,,74,0,,,1997,Operational,,,,,Bluescope,,Bluescope,Grid,550,,,,AKL - Auckland,NI ,GLN0332,GLN,2047,,"Glenbrook Cogeneration Plant produces electricity using the by-product gasses from BHP Steel's New Zealand Steel's direct reduction iron-making process. The facility generates about 550,000 megawatt hours a year of electricity. Heating raw materials as part of the iron production process creates gases. The gases are used to fuel boilers which provide steam for turbines to generate electricity at two stages in the iron-making process: from four multiple hearth furnaces, which heat iron sand and coal; and at four direct reduction rotary kilns, which reduce the heated sand and coal char to a metalised product. Together with the multiple hearth furnace cogeneration plant, Glenbrook Cogeneration Plant produces around half of the steel mill's annual power requirements. Glenbrook generates at 11kv and 33kv (GLN0111 and GLN0332). Continuous output rating for the 38MW unit is around 25MW",MBIE thermal stack update (2020); EA exisiting generating plants (2015),-37.20492,174.72344
,Government Communications Satellite,Thermal,Diesel,,,,BU,0,,0,0,,,,,,,,,Government Communications Satellite,,Trustpower,Embedded,0,,,,NEL - Nelson/Marlbourough,SI ,BLN0331,BLN,,,Location estimated,EA exisiting generating plants (2015),-41.51120283,173.9574629
