,,,,fixed,lower,upper
BOP,2045,Heat,Gas_fossil,,81.86,81.86
BOP,2045,Heat,LF_efuel,,1.47,1.47
BOP,2045,Heat,LF_fossil,,0.52,0.52
BOP,2045,Transport,Gas_efuel,,63.23,63.23
BOP,2045,Transport,Gas_fossil,,16.86,16.86
BOP,2045,Transport,LF_efuel,,481.7,481.7
BOP,2045,Transport,LF_fossil,,170.4,170.4
BOP,2050,Heat,Gas_efuel,,340.9,340.9
BOP,2050,Transport,Gas_efuel,,133,133
BOP,2050,Transport,LF_efuel,,395.8,395.8
CAN,2020,Heat,Coal_fossil,,2359,2359
CAN,2020,Heat,Gas_fossil,,4353,4353
CAN,2020,Heat,LF_fossil,,186.8,186.8
CAN,2020,Slack,Elec,,,inf
CAN,2020,Transport,LF_fossil,,9203,9203
CAN,2025,Heat,Coal_fossil,,2189,2189
CAN,2025,Heat,Gas_fossil,,4504,4504
CAN,2025,Heat,LF_fossil,,185.3,185.3
CAN,2025,Transport,Gas_fossil,,3.23,3.23
CAN,2025,Transport,LF_fossil,,7586,7586
CAN,2030,Heat,Coal_fossil,,1711,1711
CAN,2030,Heat,Gas_efuel,,85.69,85.69
CAN,2030,Heat,Gas_fossil,,4113,4113
CAN,2030,Heat,LF_efuel,,4.16,4.16
CAN,2030,Heat,LF_fossil,,153.9,153.9
CAN,2030,Slack,Elec,,,inf
CAN,2030,Transport,Gas_efuel,,0.1,0.1
CAN,2030,Transport,Gas_fossil,,4.77,4.77
CAN,2030,Transport,LF_efuel,,146.1,146.1
CAN,2030,Transport,LF_fossil,,5406,5406
CAN,2035,Heat,Coal_fossil,,1126,1126
CAN,2035,Heat,Gas_efuel,,570.7,570.7
CAN,2035,Heat,Gas_fossil,,3120,3120
CAN,2035,Heat,LF_efuel,,16.34,16.34
CAN,2035,Heat,LF_fossil,,81.7,81.7
CAN,2035,Transport,Gas_efuel,,1.28,1.28
CAN,2035,Transport,Gas_fossil,,6.98,6.98
CAN,2035,Transport,LF_efuel,,538,538
CAN,2035,Transport,LF_fossil,,2690,2690
CAN,2040,Heat,Coal_fossil,,574.5,574.5
CAN,2040,Heat,Gas_efuel,,1444,1444
CAN,2040,Heat,Gas_fossil,,1605,1605
CAN,2040,Heat,LF_efuel,,18.54,18.54
CAN,2040,Heat,LF_fossil,,28.08,28.08
CAN,2040,Transport,Gas_efuel,,6.54,6.54
CAN,2040,Transport,Gas_fossil,,7.26,7.26
CAN,2040,Transport,LF_efuel,,727.1,727.1
CAN,2040,Transport,LF_fossil,,1101,1101
CAN,2045,Heat,Coal_fossil,,215.3,215.3
CAN,2045,Heat,Gas_efuel,,2176,2176
CAN,2045,Heat,Gas_fossil,,580.2,580.2
CAN,2045,Heat,LF_efuel,,16.21,16.21
CAN,2045,Heat,LF_fossil,,5.74,5.74
CAN,2045,Transport,Gas_efuel,,19.23,19.23
CAN,2045,Transport,Gas_fossil,,5.13,5.13
CAN,2045,Transport,LF_efuel,,793.1,793.1
CAN,2045,Transport,LF_fossil,,280.6,280.6
CAN,2050,Heat,Gas_efuel,,2550,2550
CAN,2050,Transport,Gas_efuel,,40.46,40.46
CAN,2050,Transport,LF_efuel,,660.6,660.6
CEN,2020,Heat,Coal_fossil,,38.24,38.24
CEN,2020,Heat,Gas_fossil,,1985,1985
CEN,2020,Heat,LF_fossil,,14.95,14.95
CEN,2020,Slack,Elec,,,inf
CEN,2020,Transport,LF_fossil,,3041,3041
CEN,2025,Heat,Coal_fossil,,32.09,32.09
CEN,2025,Heat,Gas_fossil,,2039,2039
CEN,2025,Heat,LF_fossil,,14.83,14.83
CEN,2025,Transport,LF_fossil,,2490,2490
CEN,2030,Heat,Coal_fossil,,16.09,16.09
CEN,2030,Heat,Gas_efuel,,38.99,38.99
CEN,2030,Heat,Gas_fossil,,1872,1872
CEN,2030,Heat,LF_efuel,,0.33,0.33
CEN,2030,Heat,LF_fossil,,12.31,12.31
CEN,2030,Slack,Elec,,,inf
CEN,2030,Transport,LF_efuel,,47.38,47.38
CEN,2030,Transport,LF_fossil,,1753,1753
CEN,2035,Heat,Coal_fossil,,17.07,17.07
CEN,2035,Heat,Gas_efuel,,263.9,263.9
CEN,2035,Heat,Gas_fossil,,1443,1443
CEN,2035,Heat,LF_efuel,,1.31,1.31
CEN,2035,Heat,LF_fossil,,6.54,6.54
CEN,2035,Transport,LF_efuel,,170.1,170.1
CEN,2035,Transport,LF_fossil,,850.6,850.6
CEN,2040,Heat,Coal_fossil,,14.24,14.24
CEN,2040,Heat,Gas_efuel,,685.7,685.7
CEN,2040,Heat,Gas_fossil,,761.9,761.9
CEN,2040,Heat,LF_efuel,,1.48,1.48
CEN,2040,Heat,LF_fossil,,2.25,2.25
CEN,2040,Transport,LF_efuel,,219.4,219.4
CEN,2040,Transport,LF_fossil,,332.2,332.2
CEN,2045,Heat,Coal_fossil,,9.14,9.14
CEN,2045,Heat,Gas_efuel,,1045,1045
CEN,2045,Heat,Gas_fossil,,278.8,278.8
CEN,2045,Heat,LF_efuel,,1.3,1.3
CEN,2045,Heat,LF_fossil,,0.46,0.46
CEN,2045,Transport,LF_efuel,,225.8,225.8
CEN,2045,Transport,LF_fossil,,79.91,79.91
CEN,2050,Heat,Gas_efuel,,1231,1231
CEN,2050,Transport,LF_efuel,,186.4,186.4
GIS,2020,Heat,Coal_fossil,,7.7,7.7
GIS,2020,Heat,Gas_fossil,,113.2,113.2
GIS,2020,Heat,LF_fossil,,0.93,0.93
GIS,2020,Transport,LF_fossil,,598.6,598.6
GIS,2025,Heat,Coal_fossil,,6.47,6.47
GIS,2025,Heat,Gas_fossil,,125.4,125.4
GIS,2025,Heat,LF_fossil,,0.92,0.92
GIS,2025,Transport,LF_fossil,,499.2,499.2
GIS,2030,Heat,Coal_fossil,,3.24,3.24
GIS,2030,Heat,Gas_efuel,,2.27,2.27
GIS,2030,Heat,Gas_fossil,,108.8,108.8
GIS,2030,Heat,LF_efuel,,0.02,0.02
GIS,2030,Heat,LF_fossil,,0.76,0.76
GIS,2030,Transport,LF_efuel,,9.84,9.84
GIS,2030,Transport,LF_fossil,,363.9,363.9
GIS,2035,Heat,Coal_fossil,,3.44,3.44
GIS,2035,Heat,Gas_efuel,,12.71,12.71
GIS,2035,Heat,Gas_fossil,,69.46,69.46
GIS,2035,Heat,LF_efuel,,0.08,0.08
GIS,2035,Heat,LF_fossil,,0.41,0.41
GIS,2035,Transport,LF_efuel,,38.06,38.06
GIS,2035,Transport,LF_fossil,,190.3,190.3
GIS,2040,Heat,Coal_fossil,,2.87,2.87
GIS,2040,Heat,Gas_efuel,,22.06,22.06
GIS,2040,Heat,Gas_fossil,,24.51,24.51
GIS,2040,Heat,LF_efuel,,0.09,0.09
GIS,2040,Heat,LF_fossil,,0.14,0.14
GIS,2040,Transport,LF_efuel,,55.59,55.59
GIS,2040,Transport,LF_fossil,,84.17,84.17
GIS,2045,Heat,Coal_fossil,,1.84,1.84
GIS,2045,Heat,Gas_efuel,,26.22,26.22
GIS,2045,Heat,Gas_fossil,,6.99,6.99
GIS,2045,Heat,LF_efuel,,0.08,0.08
GIS,2045,Heat,LF_fossil,,0.03,0.03
GIS,2045,Transport,LF_efuel,,64.79,64.79
GIS,2045,Transport,LF_fossil,,22.93,22.93
GIS,2050,Heat,Gas_efuel,,27.33,27.33
GIS,2050,Transport,LF_efuel,,54.83,54.83
HBY,2020,Heat,Coal_fossil,,28.98,28.98
HBY,2020,Heat,Gas_fossil,,706.9,706.9
HBY,2020,Heat,LF_fossil,,42.15,42.15
HBY,2020,Slack,Elec,,,inf
HBY,2020,Transport,LF_fossil,,2215,2215
HBY,2025,Heat,Coal_fossil,,24.53,24.53
HBY,2025,Heat,Gas_fossil,,747.8,747.8
HBY,2025,Heat,LF_fossil,,41.81,41.81
HBY,2025,Transport,Gas_fossil,,2,2
HBY,2025,Transport,LF_fossil,,1841,1841
HBY,2030,Heat,Coal_fossil,,12.9,12.9
HBY,2030,Heat,Gas_efuel,,13.99,13.99
HBY,2030,Heat,Gas_fossil,,671.5,671.5
HBY,2030,Heat,LF_efuel,,0.94,0.94
HBY,2030,Heat,LF_fossil,,34.72,34.72
HBY,2030,Slack,Elec,,,inf
HBY,2030,Transport,Gas_efuel,,0.06,0.06
HBY,2030,Transport,Gas_fossil,,2.95,2.95
HBY,2030,Transport,LF_efuel,,36.04,36.04
HBY,2030,Transport,LF_fossil,,1334,1334
HBY,2035,Heat,Coal_fossil,,13.01,13.01
HBY,2035,Heat,Gas_efuel,,88.43,88.43
HBY,2035,Heat,Gas_fossil,,483.4,483.4
HBY,2035,Heat,LF_efuel,,3.69,3.69
HBY,2035,Heat,LF_fossil,,18.43,18.43
HBY,2035,Transport,Gas_efuel,,0.79,0.79
HBY,2035,Transport,Gas_fossil,,4.32,4.32
HBY,2035,Transport,LF_efuel,,137.8,137.8
HBY,2035,Transport,LF_fossil,,689.2,689.2
HBY,2040,Heat,Coal_fossil,,10.49,10.49
HBY,2040,Heat,Gas_efuel,,203.7,203.7
HBY,2040,Heat,Gas_fossil,,226.3,226.3
HBY,2040,Heat,LF_efuel,,4.18,4.18
HBY,2040,Heat,LF_fossil,,6.34,6.34
HBY,2040,Transport,Gas_efuel,,4.04,4.04
HBY,2040,Transport,Gas_fossil,,4.49,4.49
HBY,2040,Transport,LF_efuel,,195.8,195.8
HBY,2040,Transport,LF_fossil,,296.6,296.6
HBY,2045,Heat,Coal_fossil,,6.58,6.58
HBY,2045,Heat,Gas_efuel,,293,293
HBY,2045,Heat,Gas_fossil,,78.12,78.12
HBY,2045,Heat,LF_efuel,,3.66,3.66
HBY,2045,Heat,LF_fossil,,1.29,1.29
HBY,2045,Transport,Gas_efuel,,11.9,11.9
HBY,2045,Transport,Gas_fossil,,3.17,3.17
HBY,2045,Transport,LF_efuel,,222.2,222.2
HBY,2045,Transport,LF_fossil,,78.64,78.64
HBY,2050,Heat,Gas_efuel,,336.5,336.5
HBY,2050,Transport,Gas_efuel,,25.03,25.03
HBY,2050,Transport,LF_efuel,,185.1,185.1
NEL,2020,Heat,Coal_fossil,,154.2,154.2
NEL,2020,Heat,Gas_fossil,,474.9,474.9
NEL,2020,Heat,LF_fossil,,113.3,113.3
NEL,2020,Slack,Elec,,,inf
NEL,2020,Transport,LF_fossil,,2536,2536
NEL,2025,Heat,Coal_fossil,,141.5,141.5
NEL,2025,Heat,Gas_fossil,,512.6,512.6
NEL,2025,Heat,LF_fossil,,112.3,112.3
NEL,2025,Transport,Gas_fossil,,0.44,0.44
NEL,2025,Transport,LF_fossil,,2137,2137
NEL,2030,Heat,Coal_fossil,,106.3,106.3
NEL,2030,Heat,Gas_efuel,,9.46,9.46
NEL,2030,Heat,Gas_fossil,,453.5,453.5
NEL,2030,Heat,LF_efuel,,2.52,2.52
NEL,2030,Heat,LF_fossil,,93.3,93.3
NEL,2030,Slack,Elec,,,inf
NEL,2030,Transport,Gas_efuel,,0.01,0.01
NEL,2030,Transport,Gas_fossil,,0.65,0.65
NEL,2030,Transport,LF_efuel,,42.92,42.92
NEL,2030,Transport,LF_fossil,,1588,1588
NEL,2035,Heat,Coal_fossil,,73.01,73.01
NEL,2035,Heat,Gas_efuel,,56.78,56.78
NEL,2035,Heat,Gas_fossil,,310.4,310.4
NEL,2035,Heat,LF_efuel,,9.9,9.9
NEL,2035,Heat,LF_fossil,,49.53,49.53
NEL,2035,Transport,Gas_efuel,,0.17,0.17
NEL,2035,Transport,Gas_fossil,,0.95,0.95
NEL,2035,Transport,LF_efuel,,171.7,171.7
NEL,2035,Transport,LF_fossil,,858.5,858.5
NEL,2040,Heat,Coal_fossil,,39.9,39.9
NEL,2040,Heat,Gas_efuel,,117.7,117.7
NEL,2040,Heat,Gas_fossil,,130.8,130.8
NEL,2040,Heat,LF_efuel,,11.25,11.25
NEL,2040,Heat,LF_fossil,,17.04,17.04
NEL,2040,Transport,Gas_efuel,,0.89,0.89
NEL,2040,Transport,Gas_fossil,,0.99,0.99
NEL,2040,Transport,LF_efuel,,265.5,265.5
NEL,2040,Transport,LF_fossil,,402,402
NEL,2045,Heat,Coal_fossil,,16.77,16.77
NEL,2045,Heat,Gas_efuel,,159.3,159.3
NEL,2045,Heat,Gas_fossil,,42.49,42.49
NEL,2045,Heat,LF_efuel,,9.84,9.84
NEL,2045,Heat,LF_fossil,,3.48,3.48
NEL,2045,Transport,Gas_efuel,,2.61,2.61
NEL,2045,Transport,Gas_fossil,,0.7,0.7
NEL,2045,Transport,LF_efuel,,328.4,328.4
NEL,2045,Transport,LF_fossil,,116.2,116.2
NEL,2050,Heat,Gas_efuel,,178,178
NEL,2050,Transport,Gas_efuel,,5.5,5.5
NEL,2050,Transport,LF_efuel,,281.2,281.2
NIS,2020,Heat,Coal_fossil,,652.1,652.1
NIS,2020,Heat,Gas_fossil,,744.4,744.4
NIS,2020,Heat,LF_fossil,,4.21,4.21
NIS,2020,Slack,Elec,,,inf
NIS,2020,Transport,LF_fossil,,2157,2157
NIS,2025,Heat,Coal_fossil,,605,605
NIS,2025,Heat,Gas_fossil,,789.1,789.1
NIS,2025,Heat,LF_fossil,,4.17,4.17
NIS,2025,Transport,LF_fossil,,1754,1754
NIS,2030,Heat,Coal_fossil,,472.8,472.8
NIS,2030,Heat,Gas_efuel,,14.74,14.74
NIS,2030,Heat,Gas_fossil,,707.6,707.6
NIS,2030,Heat,LF_efuel,,0.09,0.09
NIS,2030,Heat,LF_fossil,,3.46,3.46
NIS,2030,Slack,Elec,,,inf
NIS,2030,Transport,LF_efuel,,32.92,32.92
NIS,2030,Transport,LF_fossil,,1218,1218
NIS,2035,Heat,Coal_fossil,,311.1,311.1
NIS,2035,Heat,Gas_efuel,,92.71,92.71
NIS,2035,Heat,Gas_fossil,,506.8,506.8
NIS,2035,Heat,LF_efuel,,0.37,0.37
NIS,2035,Heat,LF_fossil,,1.84,1.84
NIS,2035,Transport,LF_efuel,,114.6,114.6
NIS,2035,Transport,LF_fossil,,572.9,572.9
NIS,2040,Heat,Coal_fossil,,158.9,158.9
NIS,2040,Heat,Gas_efuel,,211.5,211.5
NIS,2040,Heat,Gas_fossil,,235,235
NIS,2040,Heat,LF_efuel,,0.42,0.42
NIS,2040,Heat,LF_fossil,,0.63,0.63
NIS,2040,Transport,LF_efuel,,139.1,139.1
NIS,2040,Transport,LF_fossil,,210.7,210.7
NIS,2045,Heat,Coal_fossil,,59.61,59.61
NIS,2045,Heat,Gas_efuel,,302.5,302.5
NIS,2045,Heat,Gas_fossil,,80.67,80.67
NIS,2045,Heat,LF_efuel,,0.36,0.36
NIS,2045,Heat,LF_fossil,,0.13,0.13
NIS,2045,Transport,LF_efuel,,133.1,133.1
NIS,2045,Transport,LF_fossil,,47.11,47.11
NIS,2050,Heat,Gas_efuel,,346.7,346.7
NIS,2050,Transport,LF_efuel,,108.2,108.2
OTG,2020,Heat,Coal_fossil,,1842,1842
OTG,2020,Heat,Gas_fossil,,2432,2432
OTG,2020,Heat,LF_fossil,,11.56,11.56
OTG,2020,Slack,Elec,,,inf
OTG,2020,Transport,LF_fossil,,4641,4641
OTG,2025,Heat,Coal_fossil,,1712,1712
OTG,2025,Heat,Gas_fossil,,2507,2507
OTG,2025,Heat,LF_fossil,,11.46,11.46
OTG,2025,Transport,Gas_fossil,,1.76,1.76
OTG,2025,Transport,LF_fossil,,3821,3821
OTG,2030,Heat,Coal_fossil,,1345,1345
OTG,2030,Heat,Gas_efuel,,47.82,47.82
OTG,2030,Heat,Gas_fossil,,2295,2295
OTG,2030,Heat,LF_efuel,,0.26,0.26
OTG,2030,Heat,LF_fossil,,9.51,9.51
OTG,2030,Slack,Elec,,,inf
OTG,2030,Transport,Gas_efuel,,0.05,0.05
OTG,2030,Transport,Gas_fossil,,2.58,2.58
OTG,2030,Transport,LF_efuel,,73.46,73.46
OTG,2030,Transport,LF_fossil,,2718,2718
OTG,2035,Heat,Coal_fossil,,879.7,879.7
OTG,2035,Heat,Gas_efuel,,321.1,321.1
OTG,2035,Heat,Gas_fossil,,1755,1755
OTG,2035,Heat,LF_efuel,,1.01,1.01
OTG,2035,Heat,LF_fossil,,5.06,5.06
OTG,2035,Transport,Gas_efuel,,0.69,0.69
OTG,2035,Transport,Gas_fossil,,3.79,3.79
OTG,2035,Transport,LF_efuel,,269.7,269.7
OTG,2035,Transport,LF_fossil,,1348,1348
OTG,2040,Heat,Coal_fossil,,444.7,444.7
OTG,2040,Heat,Gas_efuel,,823.4,823.4
OTG,2040,Heat,Gas_fossil,,914.9,914.9
OTG,2040,Heat,LF_efuel,,1.15,1.15
OTG,2040,Heat,LF_fossil,,1.74,1.74
OTG,2040,Transport,Gas_efuel,,3.54,3.54
OTG,2040,Transport,Gas_fossil,,3.94,3.94
OTG,2040,Transport,LF_efuel,,361.6,361.6
OTG,2040,Transport,LF_fossil,,547.5,547.5
OTG,2045,Heat,Coal_fossil,,163.8,163.8
OTG,2045,Heat,Gas_efuel,,1248,1248
OTG,2045,Heat,Gas_fossil,,332.8,332.8
OTG,2045,Heat,LF_efuel,,1.01,1.01
OTG,2045,Heat,LF_fossil,,0.36,0.36
OTG,2045,Transport,Gas_efuel,,10.43,10.43
OTG,2045,Transport,Gas_fossil,,2.78,2.78
OTG,2045,Transport,LF_efuel,,389.9,389.9
OTG,2045,Transport,LF_fossil,,138,138
OTG,2050,Heat,Gas_efuel,,1466,1466
OTG,2050,Transport,Gas_efuel,,21.95,21.95
OTG,2050,Transport,LF_efuel,,323.6,323.6
TRN,2020,Heat,Coal_fossil,,18.85,18.85
TRN,2020,Heat,Gas_fossil,,3918,3918
TRN,2020,Slack,Elec,,,inf
TRN,2020,Transport,LF_fossil,,1518,1518
TRN,2025,Heat,Coal_fossil,,15.82,15.82
TRN,2025,Heat,Gas_fossil,,3932,3932
TRN,2025,Transport,LF_fossil,,1251,1251
TRN,2030,Heat,Coal_fossil,,7.93,7.93
TRN,2030,Heat,Gas_efuel,,76.53,76.53
TRN,2030,Heat,Gas_fossil,,3674,3674
TRN,2030,Slack,Elec,,,inf
TRN,2030,Transport,LF_efuel,,24.09,24.09
TRN,2030,Transport,LF_fossil,,891.4,891.4
TRN,2035,Heat,Coal_fossil,,8.41,8.41
TRN,2035,Heat,Gas_efuel,,545.1,545.1
TRN,2035,Heat,Gas_fossil,,2980,2980
TRN,2035,Transport,LF_efuel,,88.54,88.54
TRN,2035,Transport,LF_fossil,,442.7,442.7
TRN,2040,Heat,Coal_fossil,,7.02,7.02
TRN,2040,Heat,Gas_efuel,,1528,1528
TRN,2040,Heat,Gas_fossil,,1698,1698
TRN,2040,Transport,LF_efuel,,119.8,119.8
TRN,2040,Transport,LF_fossil,,181.4,181.4
TRN,2045,Heat,Coal_fossil,,4.51,4.51
TRN,2045,Heat,Gas_efuel,,2406,2406
TRN,2045,Heat,Gas_fossil,,641.6,641.6
TRN,2045,Transport,LF_efuel,,130.9,130.9
TRN,2045,Transport,LF_fossil,,46.31,46.31
TRN,2050,Heat,Gas_efuel,,2870,2870
TRN,2050,Transport,LF_efuel,,109.5,109.5
WEL,2020,Heat,Coal_fossil,,83.72,83.72
WEL,2020,Heat,Gas_fossil,,941.5,941.5
WEL,2020,Heat,LF_fossil,,3.31,3.31
WEL,2020,Slack,Elec,,,inf
WEL,2020,Transport,LF_fossil,,5254,5254
WEL,2025,Heat,Coal_fossil,,70.57,70.57
WEL,2025,Heat,Gas_fossil,,1070,1070
WEL,2025,Heat,LF_fossil,,3.28,3.28
WEL,2025,Transport,Gas_fossil,,0.78,0.78
WEL,2025,Transport,LF_fossil,,4389,4389
WEL,2030,Heat,Coal_fossil,,36.24,36.24
WEL,2030,Heat,Gas_efuel,,18.98,18.98
WEL,2030,Heat,Gas_fossil,,911.2,911.2
WEL,2030,Heat,LF_efuel,,0.07,0.07
WEL,2030,Heat,LF_fossil,,2.73,2.73
WEL,2030,Slack,Elec,,,inf
WEL,2030,Transport,Gas_efuel,,0.02,0.02
WEL,2030,Transport,Gas_fossil,,1.15,1.15
WEL,2030,Transport,LF_efuel,,86.63,86.63
WEL,2030,Transport,LF_fossil,,3205,3205
WEL,2035,Heat,Coal_fossil,,37.48,37.48
WEL,2035,Heat,Gas_efuel,,98.7,98.7
WEL,2035,Heat,Gas_fossil,,539.6,539.6
WEL,2035,Heat,LF_efuel,,0.29,0.29
WEL,2035,Heat,LF_fossil,,1.45,1.45
WEL,2035,Transport,Gas_efuel,,0.31,0.31
WEL,2035,Transport,Gas_fossil,,1.69,1.69
WEL,2035,Transport,LF_efuel,,333,333
WEL,2035,Transport,LF_fossil,,1665,1665
WEL,2040,Heat,Coal_fossil,,30.75,30.75
WEL,2040,Heat,Gas_efuel,,132.7,132.7
WEL,2040,Heat,Gas_fossil,,147.5,147.5
WEL,2040,Heat,LF_efuel,,0.33,0.33
WEL,2040,Heat,LF_fossil,,0.5,0.5
WEL,2040,Transport,Gas_efuel,,1.58,1.58
WEL,2040,Transport,Gas_fossil,,1.76,1.76
WEL,2040,Transport,LF_efuel,,492.5,492.5
WEL,2040,Transport,LF_fossil,,745.8,745.8
WEL,2045,Heat,Coal_fossil,,19.52,19.52
WEL,2045,Heat,Gas_efuel,,118.7,118.7
WEL,2045,Heat,Gas_fossil,,31.65,31.65
WEL,2045,Heat,LF_efuel,,0.29,0.29
WEL,2045,Heat,LF_fossil,,0.1,0.1
WEL,2045,Transport,Gas_efuel,,4.66,4.66
WEL,2045,Transport,Gas_fossil,,1.24,1.24
WEL,2045,Transport,LF_efuel,,597.6,597.6
WEL,2045,Transport,LF_fossil,,211.5,211.5
WEL,2050,Heat,Gas_efuel,,99.74,99.74
WEL,2050,Transport,Gas_efuel,,9.8,9.8
WEL,2050,Transport,LF_efuel,,512.5,512.5
WTO,2020,Heat,Coal_fossil,,225.7,225.7
WTO,2020,Heat,Gas_fossil,,2710,2710
WTO,2020,Heat,LF_fossil,,76.12,76.12
WTO,2020,Slack,Elec,,,inf
WTO,2020,Transport,LF_fossil,,5517,5517
WTO,2025,Heat,Coal_fossil,,203.3,203.3
WTO,2025,Heat,Gas_fossil,,2822,2822
WTO,2025,Heat,LF_fossil,,75.51,75.51
WTO,2025,Transport,LF_fossil,,4503,4503
WTO,2030,Heat,Coal_fossil,,142.8,142.8
WTO,2030,Heat,Gas_efuel,,53.42,53.42
WTO,2030,Heat,Gas_fossil,,2564,2564
WTO,2030,Heat,LF_efuel,,1.69,1.69
WTO,2030,Heat,LF_fossil,,62.71,62.71
WTO,2030,Slack,Elec,,,inf
WTO,2030,Transport,LF_efuel,,85.1,85.1
WTO,2030,Transport,LF_fossil,,3149,3149
WTO,2035,Heat,Coal_fossil,,105.5,105.5
WTO,2035,Heat,Gas_efuel,,350.5,350.5
WTO,2035,Heat,Gas_fossil,,1916,1916
WTO,2035,Heat,LF_efuel,,6.66,6.66
WTO,2035,Heat,LF_fossil,,33.29,33.29
