,,,,fixed,lower,upper
OTG,2050,Transport,FuelService_LF_bio,,,-44.13
OTG,2050,Transport,H2,,,-279.1
OTG,2050,Transport,REfuel,,,-323.6
TRN,2050,FuelImport,Gas_bio,,,302.1
TRN,2050,FuelImport,LF_bio,,,29.87
TRN,2050,FuelImport,Wood,,,977.8
TRN,2050,Heat,CH4,,,-2870
TRN,2050,Heat,FuelService_Gas_bio,,,-151
TRN,2050,Heat,FuelService_Wood,,,-488.9
TRN,2050,Transport,FuelService_LF_bio,,,-14.94
TRN,2050,Transport,H2,,,-86.74
TRN,2050,Transport,REfuel,,,-109.5
WEL,2050,FuelImport,Gas_bio,,,11.53
WEL,2050,FuelImport,LF_bio,,,139.8
WEL,2050,FuelImport,Wood,,,4177
WEL,2050,Heat,CH4,,,-99.74
WEL,2050,Heat,FuelService_Gas_bio,,,-5.25
WEL,2050,Heat,FuelService_Wood,,,-2089
WEL,2050,Transport,CH4,,,-9.8
WEL,2050,Transport,FuelService_Gas_bio,,,-0.5158
WEL,2050,Transport,FuelService_LF_bio,,,-69.88
WEL,2050,Transport,H2,,,-374.6
WEL,2050,Transport,REfuel,,,-512.5
WTO,2050,FuelImport,Gas_bio,,,158
WTO,2050,FuelImport,LF_bio,,,85.1
WTO,2050,FuelImport,Wood,,,1.207e+04
WTO,2050,Heat,CH4,,,-1501
WTO,2050,Heat,FuelService_Gas_bio,,,-79
WTO,2050,Heat,FuelService_Wood,,,-6036
WTO,2050,Transport,FuelService_LF_bio,,,-42.55
WTO,2050,Transport,H2,,,-254.9
WTO,2050,Transport,REfuel,,,-312
